Data		  BBDC3		GRND3		ITSA4		UGPA3		WEGE3
Abr-14		1.96		-5.88		5.95		1.95		10.36
Mai-14		-6.64		-0.07		-4.14		-3.80		-3.34
jun/14		1.48		-1.99		1.94		-2.32		9.04
jul/14		9.80		-4.06		9.21		-0.67		-3.32
Ago-14		13.17		23.57		15.86		11.86		2.90
Set-14		-12.50	4.62		-14.84	-10.19	2.33
Out-14		4.29		3.99		6.69		4.32		2.31
nov/14		4.66		-1.37		5.97		1.85		3.93
Dez-14		-8.48		-11.30	-9.94		-6.54		0.98
jan/15		-2.34		-8.95		-2.66		3.01		4.58
Fev-15		11.98		17.09		13.72		12.42		-3.45
mar/15		-3.12		0.25		-0.94		10.14		3.87
Abr-15		-0.24		13.60		6.31		6.96		0.94
Mai-15		-12.73	-3.50		-8.56		-1.01		7.23
jun/15		7.53		-3.68		1.19		-4.28		10.98
jul/15		-1.08		7.70		-5.72		6.96		-0.88
Ago-15		-8.94		-8.62		-12.35	-8.59		-10.90
Set-15		-6.09		7.96		-1.72		5.25		-7.46
Out-15		-0.69		3.43		0.84		0.30		-6.80
nov/15		2.55		-5.54		0.69		-6.37		5.56
Dez-15		-11.20	-1.23		-3.40		-3.63		-1.27
jan/16		-4.36		-9.38		0.00		-1.77		3.41
Fev-16		18.89		7.93		1.91		7.22		-14.20
mar/16		29.36		3.83		20.06		11.04		6.62
Abr-16		2.78		1.55		6.00		3.77		8.35
Mai-16		-12.69	-1.10		-9.31		-5.76		-5.20
jun/16		11.01		-0.48		6.53		4.19		-4.05
jul/16		8.21		4.43		10.14		4.12		11.14
Ago-16		-0.32		5.46		3.81		1.55		8.51
Set-16		-2.52		-0.56		-2.85		-4.53		7.19
Out-16		14.29		11.20		13.19		1.79		-0.34
nov/16		-8.11		-11.06	-8.79		-4.47		-11.53
Dez-16		1.02		0.74		-0.23		-0.94		0.09
jan/17		10.36		5.29		12.08		-3.35		2.65
Fev-17		1.58		8.00		10.69		-1.15		6.73
mar/17		-1.72		13.41		-5.24		11.01		3.26
Abr-17		1.61		11.10		4.11		-1.68		1.72
Mai-17		-8.54		8.08		-9.50		6.29		7.34
jun/17		2.10		-2.55		0.95		3.57		-6.84
jul/17		9.99		3.16		2.55		-4.54		7.67
Ago-17		7.03		3.73		11.16		0.44		8.03
Set-17		3.62		-1.87		8.30		2.53		4.59
Out-17		-1.81		2.92		-4.99		3.70		-0.29
nov/17		-7.27		-4.84		-0.95		-10.12	7.52
Dez-17		8.17		9.63		6.02		6.84		5.63
jan/18		22.74		2.81		22.46		8.72		-1.70
Fev-18		-6.31		-2.87		4.89		-7.60		-1.22
mar/18		4.50		-3.70		5.23		-4.71		-2.85
Abr-18		-8.74		-0.11		-1.31		-14.76		2.23
Mai-18		-18.20	-11.85	-17.49	-17.29	-3.37
jun/18		-6.46		1.76		-9.95		-8.10		-5.41
jul/18		15.25		-1.64		13.51		-11.53	14.69
Ago-18		-9.88		-7.66		-5.99		2.59		3.40
Set-18		2.62		-6.01		5.48		-9.33		3.40
Out-18		17.56		8.32		11.29		18.54		-8.86
nov/18		11.10		7.19		9.79		6.78		-1.00
Dez-18		2.88		5.67		-1.88		12.59		-1.28
jan/19		18.99		11.46		11.75		7.52		7.41
Fev-19		-4.26		-5.14		-2.90		-6.63		-1.80
mar/19		4.10		1.73		4.37		3.40		3.64
