BM	D	RP	R
41892638	628345.33	20164.27	49008.09
41920442	630728.25	20885.1	48607.94
39093507	640342.55	20790.67	49689.35
37720874	646917.1	20297.62	44906.78
35875831	693929.55	21725.11	44773.36
32316217	702742.89	25257.85	45195.98
36452164	718905.03	23086.21	45956.83
39122151	723791.27	21284.74	44159.73
37521173	731588.52	21913.22	42777.96
38636085	737439.27	19988.3	43609.56
40730882	736574.12	20507.59	43102.8
47686213	745807.35	21012.97	46530.12
42363820	751214.25	20982.21	45447.03
47891196	758881.03	22057.92	49163.91
41367748	780864.83	21150.61	45996.36
40910723	789558.26	20719.92	43226.98
41452767	807300.23	23287	45194.84
41974056	823616.02	23903.55	39730.17
41594145	829960.84	23825.94	40046.89
42629109	848716.31	24658.77	39849.67
45482012	875364.79	23776.2	40124.81
43074939	901707.25	23743.81	39571.84
46234267	890585.3	25099.69	40449.18
53255971	885907.19	24593.75	42897.24
49722831	906266.93	21737.09	47253.03
47891206	904899.76	25210.47	46599.17
48854685	906714.79	27167.14	50538.59
46745596	929155.62	25588.6	54281.48
51513188	956468.85	24810.43	54175.65
50692546	999649.75	23143.23	58499.65
52432527	1097208.69	23351.37	53196.65
54985471	1051398.95	23944	43409.26
60769701	1163905.46	22878.8	49895.6
60640131	1125597.75	28274.35	46262.09
60558939	1138161.81	29690.59	52353.56
73302272	1132894.04	29933.1	47691.43
64370257	1163160.1	31577.22	41948.24
67494433	1185306.52	32718.8	48238.03
66032455	1174872.38	34026.49	49515.88
68228788	1131297.06	36149.3	52322.29
65113594	1165283.12	40094.8	50703.07
63837941	1170449.67	41988.12	56408.32
67841206	1201674.18	40976.74	65213.7
58430020	1210777.04	42003.35	84576.87
56110109	1230406.64	43166.74	86008.41
57710438	1231619.18	39974.53	96885.43
62417367	1247151.6	40504.75	91117.47
73219136	1228569.29	41839.47	97171.32
68899768	1242322.77	39080.04	100896.43
68868993	1252450.68	39151.72	97113.49
63122628	1274442.07	39601.33	96191.64
65612983	1270117.34	41218.6	94181.3
66822153	1273139.05	38675.42	96385.05
67992270	1294780.76	38721.71	91689.9
73110428	1288836.14	43621.59	88552.02
72201284	1291815.34	44435.54	81553.6
70955261	1299456.22	45408.17	77894.27
71672482	1310108	46349.78	75061.32
75097601	1309107.38	46764.17	78300.82
88732677	1331760.7	46159.23	78345.04
83471335	1339579.69	49341.42	79418.51
79115881	1352211.3	50475.92	81438.59
78276441	1387209.78	48208.96	83314.86
77791974	1374128.85	49036.99	87398.1
79731164	1383126.24	54621.43	90229.58
78494175	1398273.99	53630.01	96121.32
80283576	1404555.34	53735.92	104609.93
79820054	1412062.79	54871.47	109276.28
80105571	1422334.89	55193.07	113988.16
79886962	1426315.94	53274.27	123610.64
85515270	1452047.63	54385.55	125939.44
101247235	1453607.89	53906.46	128421.48
92843062	1458323.38	52673.16	129025.37
94627238	1475409.29	48350.63	135566.95
88735299	1490607.68	49942.34	137275.59
88912726	1437667.93	50659.5	138278.02
86158927	1431150.9	52632.06	142197.46
94634877	1465661.07	52514.78	135363.7
94592008	1451535.66	52798.97	136041.55
99860904	1472086.21	51068.65	134292.29
100371553	1511176.41	53558.42	135270.87
99861933	1514228.7	51146.93	127706.44
105335008	1539879.59	52144.19	127240.28
121102001	1556476.26	50529.48	125436.13
109695597	1548742.58	48748.24	125826.65
105136740	1590994.71	56249.55	120783.36
107235704	1603665.23	56141.32	118497.76
114406238	1602390.12	52715.64	119382.46
108250652	1628950.42	52125.16	117158.01
115604131	1655279.24	53705.06	127972.99
115812081	1617527.86	52853.12	121562.13
114488378	1646828.76	54988.65	123884.23
120340059	1654861.9	52380.66	118075.66
122966586	1678387.34	52043.98	120020.29
130847477	1704366.5	55071.54	120353.64
