comb	combustivel	cilindros	potencia	peso
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
1972.04	1	5.74	3.15	33.72
